Campaign,Ad Group,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Description 1,Description 2,Description 3,Description 4,Status
GT | Search | Acil Tesisatçı | Avrupa,Acil Tesisatci - Genel,Responsive search ad,https://golgetesisat.com/acil-tesisatci,istanbul,avrupa,Acil Tesisatçı 7/24,30 Dakikada Kapınızda,Gölge Tesisat İstanbul,Hemen Arayın Gelelim,Gece Gündüz Hizmet,Garantili Tesisat Servisi,Şeffaf Fiyat Ön Bilgi,Usta Ekip Faturalı,Keşif Ücretsiz,İstanbul Geneli Servis,Tıkanıklık Su Kaçağı,Anında Müdahale,"Su baskını, patlak boru, tıkanıklık: 7/24 acil ekip ortalama 30 dakikada adresinizde.","Faturalı, garantili ve şeffaf fiyatlı tesisat hizmeti. İş öncesi fiyat bilgisi verilir.","İstanbul Avrupa ve Anadolu yakasında 7/24 acil tesisatçı. Hemen arayın, ekip yola çıksın.","Deneyimli usta ekibi, profesyonel ekipman, işçilik garantisi. WhatsApp'tan da ulaşabilirsiniz.",Enabled
GT | Search | Su Kacagi Tespiti | Anadolu,Kirmadan Su Kacagi,Responsive search ad,https://golgetesisat.com/hizmet/su-kacagi-tespiti,istanbul,anadolu,Kırmadan Su Kaçağı Tespiti,Termal Kamera ile Tespit,Hasarsız Kaçak Bulma,Aynı Gün Randevu,Gölge Tesisat İstanbul,%98 Doğru Tespit,Ücretsiz Ön Bilgi,Zemin Kırmadan Çözüm,7/24 Kaçak Tespit Ekibi,Raporlu Tespit Hizmeti,Fatura ve Garanti,Uzman Tespit Ekibi,Termal kamera ve akustik cihazlarla kırmadan su kaçağı tespiti. Zemininiz hasar görmez.,Aidat faturanız mı yükseldi? Gizli kaçağı aynı gün tespit edip raporluyoruz.,"İstanbul genelinde kırmadan su kaçağı tespiti. Şeffaf fiyat, işçilik garantisi.","Uzman ekip, profesyonel ekipman, hızlı müdahale. Hemen arayın veya WhatsApp yazın.",Enabled
GT | Search | Su Kacagi Tespiti | Anadolu,Termal Kamera Su Kacagi,Responsive search ad,https://golgetesisat.com/hizmet/su-kacagi-tespiti,istanbul,anadolu,Kırmadan Su Kaçağı Tespiti,Termal Kamera ile Tespit,Hasarsız Kaçak Bulma,Aynı Gün Randevu,Gölge Tesisat İstanbul,%98 Doğru Tespit,Ücretsiz Ön Bilgi,Zemin Kırmadan Çözüm,7/24 Kaçak Tespit Ekibi,Raporlu Tespit Hizmeti,Fatura ve Garanti,Uzman Tespit Ekibi,Termal kamera ve akustik cihazlarla kırmadan su kaçağı tespiti. Zemininiz hasar görmez.,Aidat faturanız mı yükseldi? Gizli kaçağı aynı gün tespit edip raporluyoruz.,"İstanbul genelinde kırmadan su kaçağı tespiti. Şeffaf fiyat, işçilik garantisi.","Uzman ekip, profesyonel ekipman, hızlı müdahale. Hemen arayın veya WhatsApp yazın.",Enabled
GT | Search | Su Kacagi Tespiti | Anadolu,Gizli Kacak Tespiti,Responsive search ad,https://golgetesisat.com/hizmet/su-kacagi-tespiti,istanbul,anadolu,Kırmadan Su Kaçağı Tespiti,Termal Kamera ile Tespit,Hasarsız Kaçak Bulma,Aynı Gün Randevu,Gölge Tesisat İstanbul,%98 Doğru Tespit,Ücretsiz Ön Bilgi,Zemin Kırmadan Çözüm,7/24 Kaçak Tespit Ekibi,Raporlu Tespit Hizmeti,Fatura ve Garanti,Uzman Tespit Ekibi,Termal kamera ve akustik cihazlarla kırmadan su kaçağı tespiti. Zemininiz hasar görmez.,Aidat faturanız mı yükseldi? Gizli kaçağı aynı gün tespit edip raporluyoruz.,"İstanbul genelinde kırmadan su kaçağı tespiti. Şeffaf fiyat, işçilik garantisi.","Uzman ekip, profesyonel ekipman, hızlı müdahale. Hemen arayın veya WhatsApp yazın.",Enabled
GT | Search | Tikaniklik Acma | Avrupa,Tikaniklik Acma - Genel,Responsive search ad,https://golgetesisat.com/hizmet/tikaniklik-acma,istanbul,avrupa,Tıkanıklık Açma 7/24,Lavabo ve Tuvalet Açma,30 Dakikada Kapınızda,Kırmadan Tıkanıklık Açma,Robotlu Makine ile Açma,Gölge Tesisat İstanbul,Sabit ve Şeffaf Fiyat,Aynı Gün Çözüm,Temiz ve Kokusuz İşçilik,Acil Ekip Hazır,Faturalı Garantili,Hemen Arayın,"Lavabo, tuvalet, mutfak gideri ve ana kanal tıkanıklığı 7/24 açılır. Kırmadan çözüm.","Robotlu spiral makine ve basınçlı su ile tıkanıklık açma. Temiz çalışma, kokusuz teslim.",İstanbul genelinde acil tıkanıklık açma servisi. Ortalama 30 dakikada adresinizdeyiz.,"İş öncesi net fiyat, sonrasında fatura ve garanti. WhatsApp'tan fotoğraf gönderin, fiyat verelim.",Enabled
GT | Search | Tikaniklik Acma | Avrupa,Lavabo Tikanikligi,Responsive search ad,https://golgetesisat.com/hizmet/tikaniklik-acma,istanbul,avrupa,Tıkanıklık Açma 7/24,Lavabo ve Tuvalet Açma,30 Dakikada Kapınızda,Kırmadan Tıkanıklık Açma,Robotlu Makine ile Açma,Gölge Tesisat İstanbul,Sabit ve Şeffaf Fiyat,Aynı Gün Çözüm,Temiz ve Kokusuz İşçilik,Acil Ekip Hazır,Faturalı Garantili,Hemen Arayın,"Lavabo, tuvalet, mutfak gideri ve ana kanal tıkanıklığı 7/24 açılır. Kırmadan çözüm.","Robotlu spiral makine ve basınçlı su ile tıkanıklık açma. Temiz çalışma, kokusuz teslim.",İstanbul genelinde acil tıkanıklık açma servisi. Ortalama 30 dakikada adresinizdeyiz.,"İş öncesi net fiyat, sonrasında fatura ve garanti. WhatsApp'tan fotoğraf gönderin, fiyat verelim.",Enabled
GT | Search | Tikaniklik Acma | Avrupa,Tuvalet Tikanikligi,Responsive search ad,https://golgetesisat.com/hizmet/tikaniklik-acma,istanbul,avrupa,Tıkanıklık Açma 7/24,Lavabo ve Tuvalet Açma,30 Dakikada Kapınızda,Kırmadan Tıkanıklık Açma,Robotlu Makine ile Açma,Gölge Tesisat İstanbul,Sabit ve Şeffaf Fiyat,Aynı Gün Çözüm,Temiz ve Kokusuz İşçilik,Acil Ekip Hazır,Faturalı Garantili,Hemen Arayın,"Lavabo, tuvalet, mutfak gideri ve ana kanal tıkanıklığı 7/24 açılır. Kırmadan çözüm.","Robotlu spiral makine ve basınçlı su ile tıkanıklık açma. Temiz çalışma, kokusuz teslim.",İstanbul genelinde acil tıkanıklık açma servisi. Ortalama 30 dakikada adresinizdeyiz.,"İş öncesi net fiyat, sonrasında fatura ve garanti. WhatsApp'tan fotoğraf gönderin, fiyat verelim.",Enabled
GT | Search | Tikaniklik Acma | Avrupa,Acil Tikaniklik,Responsive search ad,https://golgetesisat.com/hizmet/tikaniklik-acma,istanbul,avrupa,Tıkanıklık Açma 7/24,Lavabo ve Tuvalet Açma,30 Dakikada Kapınızda,Kırmadan Tıkanıklık Açma,Robotlu Makine ile Açma,Gölge Tesisat İstanbul,Sabit ve Şeffaf Fiyat,Aynı Gün Çözüm,Temiz ve Kokusuz İşçilik,Acil Ekip Hazır,Faturalı Garantili,Hemen Arayın,"Lavabo, tuvalet, mutfak gideri ve ana kanal tıkanıklığı 7/24 açılır. Kırmadan çözüm.","Robotlu spiral makine ve basınçlı su ile tıkanıklık açma. Temiz çalışma, kokusuz teslim.",İstanbul genelinde acil tıkanıklık açma servisi. Ortalama 30 dakikada adresinizdeyiz.,"İş öncesi net fiyat, sonrasında fatura ve garanti. WhatsApp'tan fotoğraf gönderin, fiyat verelim.",Enabled
GT | Search | Tikaniklik Acma | Anadolu,Tikaniklik Acma - Genel,Responsive search ad,https://golgetesisat.com/hizmet/tikaniklik-acma,istanbul,anadolu,Tıkanıklık Açma 7/24,Lavabo ve Tuvalet Açma,30 Dakikada Kapınızda,Kırmadan Tıkanıklık Açma,Robotlu Makine ile Açma,Gölge Tesisat İstanbul,Sabit ve Şeffaf Fiyat,Aynı Gün Çözüm,Temiz ve Kokusuz İşçilik,Acil Ekip Hazır,Faturalı Garantili,Hemen Arayın,"Lavabo, tuvalet, mutfak gideri ve ana kanal tıkanıklığı 7/24 açılır. Kırmadan çözüm.","Robotlu spiral makine ve basınçlı su ile tıkanıklık açma. Temiz çalışma, kokusuz teslim.",İstanbul genelinde acil tıkanıklık açma servisi. Ortalama 30 dakikada adresinizdeyiz.,"İş öncesi net fiyat, sonrasında fatura ve garanti. WhatsApp'tan fotoğraf gönderin, fiyat verelim.",Enabled
GT | Search | Tikaniklik Acma | Anadolu,Lavabo Tikanikligi,Responsive search ad,https://golgetesisat.com/hizmet/tikaniklik-acma,istanbul,anadolu,Tıkanıklık Açma 7/24,Lavabo ve Tuvalet Açma,30 Dakikada Kapınızda,Kırmadan Tıkanıklık Açma,Robotlu Makine ile Açma,Gölge Tesisat İstanbul,Sabit ve Şeffaf Fiyat,Aynı Gün Çözüm,Temiz ve Kokusuz İşçilik,Acil Ekip Hazır,Faturalı Garantili,Hemen Arayın,"Lavabo, tuvalet, mutfak gideri ve ana kanal tıkanıklığı 7/24 açılır. Kırmadan çözüm.","Robotlu spiral makine ve basınçlı su ile tıkanıklık açma. Temiz çalışma, kokusuz teslim.",İstanbul genelinde acil tıkanıklık açma servisi. Ortalama 30 dakikada adresinizdeyiz.,"İş öncesi net fiyat, sonrasında fatura ve garanti. WhatsApp'tan fotoğraf gönderin, fiyat verelim.",Enabled
GT | Search | Tikaniklik Acma | Anadolu,Tuvalet Tikanikligi,Responsive search ad,https://golgetesisat.com/hizmet/tikaniklik-acma,istanbul,anadolu,Tıkanıklık Açma 7/24,Lavabo ve Tuvalet Açma,30 Dakikada Kapınızda,Kırmadan Tıkanıklık Açma,Robotlu Makine ile Açma,Gölge Tesisat İstanbul,Sabit ve Şeffaf Fiyat,Aynı Gün Çözüm,Temiz ve Kokusuz İşçilik,Acil Ekip Hazır,Faturalı Garantili,Hemen Arayın,"Lavabo, tuvalet, mutfak gideri ve ana kanal tıkanıklığı 7/24 açılır. Kırmadan çözüm.","Robotlu spiral makine ve basınçlı su ile tıkanıklık açma. Temiz çalışma, kokusuz teslim.",İstanbul genelinde acil tıkanıklık açma servisi. Ortalama 30 dakikada adresinizdeyiz.,"İş öncesi net fiyat, sonrasında fatura ve garanti. WhatsApp'tan fotoğraf gönderin, fiyat verelim.",Enabled
GT | Search | Tikaniklik Acma | Anadolu,Acil Tikaniklik,Responsive search ad,https://golgetesisat.com/hizmet/tikaniklik-acma,istanbul,anadolu,Tıkanıklık Açma 7/24,Lavabo ve Tuvalet Açma,30 Dakikada Kapınızda,Kırmadan Tıkanıklık Açma,Robotlu Makine ile Açma,Gölge Tesisat İstanbul,Sabit ve Şeffaf Fiyat,Aynı Gün Çözüm,Temiz ve Kokusuz İşçilik,Acil Ekip Hazır,Faturalı Garantili,Hemen Arayın,"Lavabo, tuvalet, mutfak gideri ve ana kanal tıkanıklığı 7/24 açılır. Kırmadan çözüm.","Robotlu spiral makine ve basınçlı su ile tıkanıklık açma. Temiz çalışma, kokusuz teslim.",İstanbul genelinde acil tıkanıklık açma servisi. Ortalama 30 dakikada adresinizdeyiz.,"İş öncesi net fiyat, sonrasında fatura ve garanti. WhatsApp'tan fotoğraf gönderin, fiyat verelim.",Enabled
GT | Search | Petek Temizleme | Avrupa,Petek Temizleme - Genel,Responsive search ad,https://golgetesisat.com/hizmet/petek-temizligi,istanbul,avrupa,Petek Temizleme Servisi,Kompresörlü Petek Temizliği,Peteğiniz Alttan mı Soğuk?,Aynı Gün Randevu,Gölge Tesisat İstanbul,Daire Bazlı Uygun Fiyat,Isınma Faturasını Düşürün,Temiz ve Hızlı İşçilik,Uzman Ekip Garantili,Hemen Fiyat Alın,7/24 Ulaşım,Kombi Bakımı da Yapılır,"Kompresörlü petek temizliği ile peteğinizdeki çamur ve hava tahliye edilir, ısınma artar.","Alttan soğuk, üstten sıcak petek mi? Aynı gün temizlik randevusu alın.","Daire bazlı şeffaf fiyat, temiz çalışma, garantili işçilik. İstanbul geneli hizmet.",Petek temizliği ile doğalgaz faturanızda tasarruf sağlayın. Hemen arayın.,Enabled
GT | Search | Petek Temizleme | Avrupa,Kombi Petek Temizligi,Responsive search ad,https://golgetesisat.com/hizmet/petek-temizligi,istanbul,avrupa,Petek Temizleme Servisi,Kompresörlü Petek Temizliği,Peteğiniz Alttan mı Soğuk?,Aynı Gün Randevu,Gölge Tesisat İstanbul,Daire Bazlı Uygun Fiyat,Isınma Faturasını Düşürün,Temiz ve Hızlı İşçilik,Uzman Ekip Garantili,Hemen Fiyat Alın,7/24 Ulaşım,Kombi Bakımı da Yapılır,"Kompresörlü petek temizliği ile peteğinizdeki çamur ve hava tahliye edilir, ısınma artar.","Alttan soğuk, üstten sıcak petek mi? Aynı gün temizlik randevusu alın.","Daire bazlı şeffaf fiyat, temiz çalışma, garantili işçilik. İstanbul geneli hizmet.",Petek temizliği ile doğalgaz faturanızda tasarruf sağlayın. Hemen arayın.,Enabled
GT | Search | Petek Temizleme | Anadolu,Petek Temizleme - Genel,Responsive search ad,https://golgetesisat.com/hizmet/petek-temizligi,istanbul,anadolu,Petek Temizleme Servisi,Kompresörlü Petek Temizliği,Peteğiniz Alttan mı Soğuk?,Aynı Gün Randevu,Gölge Tesisat İstanbul,Daire Bazlı Uygun Fiyat,Isınma Faturasını Düşürün,Temiz ve Hızlı İşçilik,Uzman Ekip Garantili,Hemen Fiyat Alın,7/24 Ulaşım,Kombi Bakımı da Yapılır,"Kompresörlü petek temizliği ile peteğinizdeki çamur ve hava tahliye edilir, ısınma artar.","Alttan soğuk, üstten sıcak petek mi? Aynı gün temizlik randevusu alın.","Daire bazlı şeffaf fiyat, temiz çalışma, garantili işçilik. İstanbul geneli hizmet.",Petek temizliği ile doğalgaz faturanızda tasarruf sağlayın. Hemen arayın.,Enabled
GT | Search | Petek Temizleme | Anadolu,Kombi Petek Temizligi,Responsive search ad,https://golgetesisat.com/hizmet/petek-temizligi,istanbul,anadolu,Petek Temizleme Servisi,Kompresörlü Petek Temizliği,Peteğiniz Alttan mı Soğuk?,Aynı Gün Randevu,Gölge Tesisat İstanbul,Daire Bazlı Uygun Fiyat,Isınma Faturasını Düşürün,Temiz ve Hızlı İşçilik,Uzman Ekip Garantili,Hemen Fiyat Alın,7/24 Ulaşım,Kombi Bakımı da Yapılır,"Kompresörlü petek temizliği ile peteğinizdeki çamur ve hava tahliye edilir, ısınma artar.","Alttan soğuk, üstten sıcak petek mi? Aynı gün temizlik randevusu alın.","Daire bazlı şeffaf fiyat, temiz çalışma, garantili işçilik. İstanbul geneli hizmet.",Petek temizliği ile doğalgaz faturanızda tasarruf sağlayın. Hemen arayın.,Enabled
GT | Search | Boru ve Tesisat Tamiri | Avrupa,Boru Tamiri,Responsive search ad,https://golgetesisat.com/acil-tesisatci,istanbul,avrupa,Boru ve Tesisat Tamiri,Patlak Boru Acil Tamir,7/24 Sıhhi Tesisatçı,30 Dakikada Kapınızda,Kırmadan Boru Onarımı,Gölge Tesisat İstanbul,Şeffaf Fiyat Garantili İş,Usta Ekip Faturalı,Su Kesmeden Müdahale,Aynı Gün Servis,Musluk Rezervuar Tamiri,Hemen Arayın,"Patlak boru, sızdıran tesisat, damlatan musluk: 7/24 acil tamir ekibi kapınızda.","Sıhhi tesisat tamiri ve yenileme, kırmadan onarım seçenekleriyle. Garantili işçilik.","İstanbul genelinde su tesisatı tamiri. İş öncesi net fiyat bilgisi, sonrasında fatura.",Deneyimli usta ekibi ve profesyonel ekipman. WhatsApp'tan da ulaşabilirsiniz.,Enabled
GT | Search | Boru ve Tesisat Tamiri | Avrupa,Tesisat Tamiri,Responsive search ad,https://golgetesisat.com/acil-tesisatci,istanbul,avrupa,Boru ve Tesisat Tamiri,Patlak Boru Acil Tamir,7/24 Sıhhi Tesisatçı,30 Dakikada Kapınızda,Kırmadan Boru Onarımı,Gölge Tesisat İstanbul,Şeffaf Fiyat Garantili İş,Usta Ekip Faturalı,Su Kesmeden Müdahale,Aynı Gün Servis,Musluk Rezervuar Tamiri,Hemen Arayın,"Patlak boru, sızdıran tesisat, damlatan musluk: 7/24 acil tamir ekibi kapınızda.","Sıhhi tesisat tamiri ve yenileme, kırmadan onarım seçenekleriyle. Garantili işçilik.","İstanbul genelinde su tesisatı tamiri. İş öncesi net fiyat bilgisi, sonrasında fatura.",Deneyimli usta ekibi ve profesyonel ekipman. WhatsApp'tan da ulaşabilirsiniz.,Enabled
GT | Search | Boru ve Tesisat Tamiri | Avrupa,Musluk Batarya,Responsive search ad,https://golgetesisat.com/acil-tesisatci,istanbul,avrupa,Boru ve Tesisat Tamiri,Patlak Boru Acil Tamir,7/24 Sıhhi Tesisatçı,30 Dakikada Kapınızda,Kırmadan Boru Onarımı,Gölge Tesisat İstanbul,Şeffaf Fiyat Garantili İş,Usta Ekip Faturalı,Su Kesmeden Müdahale,Aynı Gün Servis,Musluk Rezervuar Tamiri,Hemen Arayın,"Patlak boru, sızdıran tesisat, damlatan musluk: 7/24 acil tamir ekibi kapınızda.","Sıhhi tesisat tamiri ve yenileme, kırmadan onarım seçenekleriyle. Garantili işçilik.","İstanbul genelinde su tesisatı tamiri. İş öncesi net fiyat bilgisi, sonrasında fatura.",Deneyimli usta ekibi ve profesyonel ekipman. WhatsApp'tan da ulaşabilirsiniz.,Enabled
