Campaign,Asset type,Sitelink text,Description 1,Description 2,Final URL
GT | Search | Acil Tesisatçı | Avrupa,Sitelink,Acil Tesisatçı,7/24 acil ekip,Ortalama 30 dk varış,https://golgetesisat.com/acil-tesisatci
GT | Search | Tikaniklik Acma | Avrupa,Sitelink,Petek Temizliği,Kompresörlü temizlik,Isınma sorununa son,https://golgetesisat.com/hizmet/petek-temizligi
GT | Search | Tikaniklik Acma | Avrupa,Sitelink,Fiyat Listesi,Şeffaf fiyatlar,İş öncesi bilgi,https://golgetesisat.com/hizmetler
GT | Search | Tikaniklik Acma | Avrupa,Sitelink,Randevu Al,Online randevu,Size dönüş yapalım,https://golgetesisat.com/randevu
GT | Search | Tikaniklik Acma | Anadolu,Sitelink,Acil Tesisatçı,7/24 acil ekip,Ortalama 30 dk varış,https://golgetesisat.com/acil-tesisatci
GT | Search | Tikaniklik Acma | Anadolu,Sitelink,Su Kaçağı Tespiti,Kırmadan tespit,Termal kamera ile,https://golgetesisat.com/hizmet/su-kacagi-tespiti
GT | Search | Tikaniklik Acma | Anadolu,Sitelink,Tıkanıklık Açma,Lavabo & tuvalet,Robotlu makine,https://golgetesisat.com/hizmet/tikaniklik-acma
GT | Search | Tikaniklik Acma | Anadolu,Sitelink,Petek Temizliği,Kompresörlü temizlik,Isınma sorununa son,https://golgetesisat.com/hizmet/petek-temizligi
GT | Search | Tikaniklik Acma | Anadolu,Sitelink,Fiyat Listesi,Şeffaf fiyatlar,İş öncesi bilgi,https://golgetesisat.com/hizmetler
GT | Search | Tikaniklik Acma | Anadolu,Sitelink,Randevu Al,Online randevu,Size dönüş yapalım,https://golgetesisat.com/randevu
GT | Search | Petek Temizleme | Avrupa,Sitelink,Acil Tesisatçı,7/24 acil ekip,Ortalama 30 dk varış,https://golgetesisat.com/acil-tesisatci
GT | Search | Petek Temizleme | Avrupa,Sitelink,Su Kaçağı Tespiti,Kırmadan tespit,Termal kamera ile,https://golgetesisat.com/hizmet/su-kacagi-tespiti
GT | Search | Petek Temizleme | Avrupa,Sitelink,Tıkanıklık Açma,Lavabo & tuvalet,Robotlu makine,https://golgetesisat.com/hizmet/tikaniklik-acma
GT | Search | Petek Temizleme | Avrupa,Sitelink,Petek Temizliği,Kompresörlü temizlik,Isınma sorununa son,https://golgetesisat.com/hizmet/petek-temizligi
GT | Search | Petek Temizleme | Avrupa,Sitelink,Fiyat Listesi,Şeffaf fiyatlar,İş öncesi bilgi,https://golgetesisat.com/hizmetler
GT | Search | Petek Temizleme | Avrupa,Sitelink,Randevu Al,Online randevu,Size dönüş yapalım,https://golgetesisat.com/randevu
GT | Search | Petek Temizleme | Anadolu,Sitelink,Acil Tesisatçı,7/24 acil ekip,Ortalama 30 dk varış,https://golgetesisat.com/acil-tesisatci
GT | Search | Petek Temizleme | Anadolu,Sitelink,Su Kaçağı Tespiti,Kırmadan tespit,Termal kamera ile,https://golgetesisat.com/hizmet/su-kacagi-tespiti
GT | Search | Petek Temizleme | Anadolu,Sitelink,Tıkanıklık Açma,Lavabo & tuvalet,Robotlu makine,https://golgetesisat.com/hizmet/tikaniklik-acma
GT | Search | Petek Temizleme | Anadolu,Sitelink,Petek Temizliği,Kompresörlü temizlik,Isınma sorununa son,https://golgetesisat.com/hizmet/petek-temizligi
GT | Search | Petek Temizleme | Anadolu,Sitelink,Fiyat Listesi,Şeffaf fiyatlar,İş öncesi bilgi,https://golgetesisat.com/hizmetler
GT | Search | Petek Temizleme | Anadolu,Sitelink,Randevu Al,Online randevu,Size dönüş yapalım,https://golgetesisat.com/randevu
GT | Search | Boru ve Tesisat Tamiri | Avrupa,Sitelink,Acil Tesisatçı,7/24 acil ekip,Ortalama 30 dk varış,https://golgetesisat.com/acil-tesisatci
GT | Search | Boru ve Tesisat Tamiri | Avrupa,Sitelink,Su Kaçağı Tespiti,Kırmadan tespit,Termal kamera ile,https://golgetesisat.com/hizmet/su-kacagi-tespiti
GT | Search | Boru ve Tesisat Tamiri | Avrupa,Sitelink,Tıkanıklık Açma,Lavabo & tuvalet,Robotlu makine,https://golgetesisat.com/hizmet/tikaniklik-acma
GT | Search | Boru ve Tesisat Tamiri | Avrupa,Sitelink,Petek Temizliği,Kompresörlü temizlik,Isınma sorununa son,https://golgetesisat.com/hizmet/petek-temizligi
GT | Search | Boru ve Tesisat Tamiri | Avrupa,Sitelink,Fiyat Listesi,Şeffaf fiyatlar,İş öncesi bilgi,https://golgetesisat.com/hizmetler
GT | Search | Boru ve Tesisat Tamiri | Avrupa,Sitelink,Randevu Al,Online randevu,Size dönüş yapalım,https://golgetesisat.com/randevu
GT | Search | Boru ve Tesisat Tamiri | Anadolu,Sitelink,Acil Tesisatçı,7/24 acil ekip,Ortalama 30 dk varış,https://golgetesisat.com/acil-tesisatci
GT | Search | Boru ve Tesisat Tamiri | Anadolu,Sitelink,Su Kaçağı Tespiti,Kırmadan tespit,Termal kamera ile,https://golgetesisat.com/hizmet/su-kacagi-tespiti
GT | Search | Boru ve Tesisat Tamiri | Anadolu,Sitelink,Tıkanıklık Açma,Lavabo & tuvalet,Robotlu makine,https://golgetesisat.com/hizmet/tikaniklik-acma
GT | Search | Boru ve Tesisat Tamiri | Anadolu,Sitelink,Petek Temizliği,Kompresörlü temizlik,Isınma sorununa son,https://golgetesisat.com/hizmet/petek-temizligi
GT | Search | Boru ve Tesisat Tamiri | Anadolu,Sitelink,Fiyat Listesi,Şeffaf fiyatlar,İş öncesi bilgi,https://golgetesisat.com/hizmetler
GT | Search | Boru ve Tesisat Tamiri | Anadolu,Sitelink,Randevu Al,Online randevu,Size dönüş yapalım,https://golgetesisat.com/randevu
GT | Search | Kamera ile Gider Kontrolu | Avrupa,Sitelink,Acil Tesisatçı,7/24 acil ekip,Ortalama 30 dk varış,https://golgetesisat.com/acil-tesisatci
GT | Search | Kamera ile Gider Kontrolu | Avrupa,Sitelink,Su Kaçağı Tespiti,Kırmadan tespit,Termal kamera ile,https://golgetesisat.com/hizmet/su-kacagi-tespiti
GT | Search | Kamera ile Gider Kontrolu | Avrupa,Sitelink,Tıkanıklık Açma,Lavabo & tuvalet,Robotlu makine,https://golgetesisat.com/hizmet/tikaniklik-acma
GT | Search | Kamera ile Gider Kontrolu | Avrupa,Sitelink,Petek Temizliği,Kompresörlü temizlik,Isınma sorununa son,https://golgetesisat.com/hizmet/petek-temizligi
GT | Search | Kamera ile Gider Kontrolu | Avrupa,Sitelink,Fiyat Listesi,Şeffaf fiyatlar,İş öncesi bilgi,https://golgetesisat.com/hizmetler
GT | Search | Kamera ile Gider Kontrolu | Avrupa,Sitelink,Randevu Al,Online randevu,Size dönüş yapalım,https://golgetesisat.com/randevu
GT | Search | Kamera ile Gider Kontrolu | Anadolu,Sitelink,Acil Tesisatçı,7/24 acil ekip,Ortalama 30 dk varış,https://golgetesisat.com/acil-tesisatci
GT | Search | Kamera ile Gider Kontrolu | Anadolu,Sitelink,Su Kaçağı Tespiti,Kırmadan tespit,Termal kamera ile,https://golgetesisat.com/hizmet/su-kacagi-tespiti
GT | Search | Kamera ile Gider Kontrolu | Anadolu,Sitelink,Tıkanıklık Açma,Lavabo & tuvalet,Robotlu makine,https://golgetesisat.com/hizmet/tikaniklik-acma
GT | Search | Kamera ile Gider Kontrolu | Anadolu,Sitelink,Petek Temizliği,Kompresörlü temizlik,Isınma sorununa son,https://golgetesisat.com/hizmet/petek-temizligi
GT | Search | Kamera ile Gider Kontrolu | Anadolu,Sitelink,Fiyat Listesi,Şeffaf fiyatlar,İş öncesi bilgi,https://golgetesisat.com/hizmetler
GT | Search | Kamera ile Gider Kontrolu | Anadolu,Sitelink,Randevu Al,Online randevu,Size dönüş yapalım,https://golgetesisat.com/randevu

Campaign,Asset type,Callout text
GT | Search | Acil Tesisatçı | Avrupa,Callout,7/24 Acil Servis
GT | Search | Acil Tesisatçı | Avrupa,Callout,30 Dakikada Kapınızda
GT | Search | Acil Tesisatçı | Avrupa,Callout,Şeffaf Sabit Fiyat
GT | Search | Acil Tesisatçı | Avrupa,Callout,Faturalı Hizmet
GT | Search | Acil Tesisatçı | Avrupa,Callout,İşçilik Garantili
GT | Search | Acil Tesisatçı | Avrupa,Callout,15+ Yıl Tecrübe
GT | Search | Acil Tesisatçı | Avrupa,Callout,Kırmadan Çözüm
GT | Search | Acil Tesisatçı | Avrupa,Callout,WhatsApp Destek
GT | Search | Acil Tesisatçı | Anadolu,Callout,7/24 Acil Servis
GT | Search | Acil Tesisatçı | Anadolu,Callout,30 Dakikada Kapınızda
GT | Search | Acil Tesisatçı | Anadolu,Callout,Şeffaf Sabit Fiyat
GT | Search | Acil Tesisatçı | Anadolu,Callout,Faturalı Hizmet
GT | Search | Acil Tesisatçı | Anadolu,Callout,İşçilik Garantili
GT | Search | Acil Tesisatçı | Anadolu,Callout,15+ Yıl Tecrübe
GT | Search | Acil Tesisatçı | Anadolu,Callout,Kırmadan Çözüm
GT | Search | Acil Tesisatçı | Anadolu,Callout,WhatsApp Destek
GT | Search | Su Kacagi Tespiti | Avrupa,Callout,7/24 Acil Servis
GT | Search | Su Kacagi Tespiti | Avrupa,Callout,30 Dakikada Kapınızda
GT | Search | Su Kacagi Tespiti | Avrupa,Callout,Şeffaf Sabit Fiyat
GT | Search | Su Kacagi Tespiti | Avrupa,Callout,Faturalı Hizmet
GT | Search | Su Kacagi Tespiti | Avrupa,Callout,İşçilik Garantili
GT | Search | Su Kacagi Tespiti | Avrupa,Callout,15+ Yıl Tecrübe
GT | Search | Su Kacagi Tespiti | Avrupa,Callout,Kırmadan Çözüm
GT | Search | Su Kacagi Tespiti | Avrupa,Callout,WhatsApp Destek
GT | Search | Su Kacagi Tespiti | Anadolu,Callout,7/24 Acil Servis
GT | Search | Su Kacagi Tespiti | Anadolu,Callout,30 Dakikada Kapınızda
GT | Search | Su Kacagi Tespiti | Anadolu,Callout,Şeffaf Sabit Fiyat
GT | Search | Su Kacagi Tespiti | Anadolu,Callout,Faturalı Hizmet
GT | Search | Su Kacagi Tespiti | Anadolu,Callout,İşçilik Garantili
GT | Search | Su Kacagi Tespiti | Anadolu,Callout,15+ Yıl Tecrübe
GT | Search | Su Kacagi Tespiti | Anadolu,Callout,Kırmadan Çözüm
GT | Search | Su Kacagi Tespiti | Anadolu,Callout,WhatsApp Destek
GT | Search | Tikaniklik Acma | Avrupa,Callout,7/24 Acil Servis
GT | Search | Tikaniklik Acma | Avrupa,Callout,30 Dakikada Kapınızda
GT | Search | Tikaniklik Acma | Avrupa,Callout,Şeffaf Sabit Fiyat
GT | Search | Tikaniklik Acma | Avrupa,Callout,Faturalı Hizmet
GT | Search | Tikaniklik Acma | Avrupa,Callout,İşçilik Garantili
GT | Search | Tikaniklik Acma | Avrupa,Callout,15+ Yıl Tecrübe
GT | Search | Tikaniklik Acma | Avrupa,Callout,Kırmadan Çözüm
GT | Search | Tikaniklik Acma | Avrupa,Callout,WhatsApp Destek
GT | Search | Tikaniklik Acma | Anadolu,Callout,7/24 Acil Servis
GT | Search | Tikaniklik Acma | Anadolu,Callout,30 Dakikada Kapınızda
GT | Search | Tikaniklik Acma | Anadolu,Callout,Şeffaf Sabit Fiyat
GT | Search | Tikaniklik Acma | Anadolu,Callout,Faturalı Hizmet
GT | Search | Tikaniklik Acma | Anadolu,Callout,İşçilik Garantili
GT | Search | Tikaniklik Acma | Anadolu,Callout,15+ Yıl Tecrübe
GT | Search | Tikaniklik Acma | Anadolu,Callout,Kırmadan Çözüm
GT | Search | Tikaniklik Acma | Anadolu,Callout,WhatsApp Destek
GT | Search | Petek Temizleme | Avrupa,Callout,7/24 Acil Servis
GT | Search | Petek Temizleme | Avrupa,Callout,30 Dakikada Kapınızda
GT | Search | Petek Temizleme | Avrupa,Callout,Şeffaf Sabit Fiyat
GT | Search | Petek Temizleme | Avrupa,Callout,Faturalı Hizmet
GT | Search | Petek Temizleme | Avrupa,Callout,İşçilik Garantili
GT | Search | Petek Temizleme | Avrupa,Callout,15+ Yıl Tecrübe
GT | Search | Petek Temizleme | Avrupa,Callout,Kırmadan Çözüm
GT | Search | Petek Temizleme | Avrupa,Callout,WhatsApp Destek
GT | Search | Petek Temizleme | Anadolu,Callout,7/24 Acil Servis
GT | Search | Petek Temizleme | Anadolu,Callout,30 Dakikada Kapınızda
GT | Search | Petek Temizleme | Anadolu,Callout,Şeffaf Sabit Fiyat
GT | Search | Petek Temizleme | Anadolu,Callout,Faturalı Hizmet
GT | Search | Petek Temizleme | Anadolu,Callout,İşçilik Garantili
GT | Search | Petek Temizleme | Anadolu,Callout,15+ Yıl Tecrübe
GT | Search | Petek Temizleme | Anadolu,Callout,Kırmadan Çözüm
GT | Search | Petek Temizleme | Anadolu,Callout,WhatsApp Destek
GT | Search | Boru ve Tesisat Tamiri | Avrupa,Callout,7/24 Acil Servis
GT | Search | Boru ve Tesisat Tamiri | Avrupa,Callout,30 Dakikada Kapınızda
GT | Search | Boru ve Tesisat Tamiri | Avrupa,Callout,Şeffaf Sabit Fiyat
GT | Search | Boru ve Tesisat Tamiri | Avrupa,Callout,Faturalı Hizmet
GT | Search | Boru ve Tesisat Tamiri | Avrupa,Callout,İşçilik Garantili
GT | Search | Boru ve Tesisat Tamiri | Avrupa,Callout,15+ Yıl Tecrübe
GT | Search | Boru ve Tesisat Tamiri | Avrupa,Callout,Kırmadan Çözüm
GT | Search | Boru ve Tesisat Tamiri | Avrupa,Callout,WhatsApp Destek
GT | Search | Boru ve Tesisat Tamiri | Anadolu,Callout,7/24 Acil Servis
GT | Search | Boru ve Tesisat Tamiri | Anadolu,Callout,30 Dakikada Kapınızda
GT | Search | Boru ve Tesisat Tamiri | Anadolu,Callout,Şeffaf Sabit Fiyat
GT | Search | Boru ve Tesisat Tamiri | Anadolu,Callout,Faturalı Hizmet
GT | Search | Boru ve Tesisat Tamiri | Anadolu,Callout,İşçilik Garantili
GT | Search | Boru ve Tesisat Tamiri | Anadolu,Callout,15+ Yıl Tecrübe
GT | Search | Boru ve Tesisat Tamiri | Anadolu,Callout,Kırmadan Çözüm
GT | Search | Boru ve Tesisat Tamiri | Anadolu,Callout,WhatsApp Destek
GT | Search | Kamera ile Gider Kontrolu | Avrupa,Callout,7/24 Acil Servis
GT | Search | Kamera ile Gider Kontrolu | Avrupa,Callout,30 Dakikada Kapınızda
GT | Search | Kamera ile Gider Kontrolu | Avrupa,Callout,Şeffaf Sabit Fiyat
GT | Search | Kamera ile Gider Kontrolu | Avrupa,Callout,Faturalı Hizmet
GT | Search | Kamera ile Gider Kontrolu | Avrupa,Callout,İşçilik Garantili
GT | Search | Kamera ile Gider Kontrolu | Avrupa,Callout,15+ Yıl Tecrübe
GT | Search | Kamera ile Gider Kontrolu | Avrupa,Callout,Kırmadan Çözüm
GT | Search | Kamera ile Gider Kontrolu | Avrupa,Callout,WhatsApp Destek
GT | Search | Kamera ile Gider Kontrolu | Anadolu,Callout,7/24 Acil Servis
GT | Search | Kamera ile Gider Kontrolu | Anadolu,Callout,30 Dakikada Kapınızda
GT | Search | Kamera ile Gider Kontrolu | Anadolu,Callout,Şeffaf Sabit Fiyat
GT | Search | Kamera ile Gider Kontrolu | Anadolu,Callout,Faturalı Hizmet
GT | Search | Kamera ile Gider Kontrolu | Anadolu,Callout,İşçilik Garantili
GT | Search | Kamera ile Gider Kontrolu | Anadolu,Callout,15+ Yıl Tecrübe
GT | Search | Kamera ile Gider Kontrolu | Anadolu,Callout,Kırmadan Çözüm
GT | Search | Kamera ile Gider Kontrolu | Anadolu,Callout,WhatsApp Destek

Campaign,Asset type,Header,Values
GT | Search | Acil Tesisatçı | Avrupa,Structured snippet,Hizmetler,Su Kaçağı Tespiti;Tıkanıklık Açma;Petek Temizliği;Boru Tamiri;Kamera ile Kontrol;Acil Tesisat
GT | Search | Acil Tesisatçı | Anadolu,Structured snippet,Hizmetler,Su Kaçağı Tespiti;Tıkanıklık Açma;Petek Temizliği;Boru Tamiri;Kamera ile Kontrol;Acil Tesisat
GT | Search | Su Kacagi Tespiti | Avrupa,Structured snippet,Hizmetler,Su Kaçağı Tespiti;Tıkanıklık Açma;Petek Temizliği;Boru Tamiri;Kamera ile Kontrol;Acil Tesisat
GT | Search | Su Kacagi Tespiti | Anadolu,Structured snippet,Hizmetler,Su Kaçağı Tespiti;Tıkanıklık Açma;Petek Temizliği;Boru Tamiri;Kamera ile Kontrol;Acil Tesisat
GT | Search | Tikaniklik Acma | Avrupa,Structured snippet,Hizmetler,Su Kaçağı Tespiti;Tıkanıklık Açma;Petek Temizliği;Boru Tamiri;Kamera ile Kontrol;Acil Tesisat
GT | Search | Tikaniklik Acma | Anadolu,Structured snippet,Hizmetler,Su Kaçağı Tespiti;Tıkanıklık Açma;Petek Temizliği;Boru Tamiri;Kamera ile Kontrol;Acil Tesisat
GT | Search | Petek Temizleme | Avrupa,Structured snippet,Hizmetler,Su Kaçağı Tespiti;Tıkanıklık Açma;Petek Temizliği;Boru Tamiri;Kamera ile Kontrol;Acil Tesisat
GT | Search | Petek Temizleme | Anadolu,Structured snippet,Hizmetler,Su Kaçağı Tespiti;Tıkanıklık Açma;Petek Temizliği;Boru Tamiri;Kamera ile Kontrol;Acil Tesisat
GT | Search | Boru ve Tesisat Tamiri | Avrupa,Structured snippet,Hizmetler,Su Kaçağı Tespiti;Tıkanıklık Açma;Petek Temizliği;Boru Tamiri;Kamera ile Kontrol;Acil Tesisat
GT | Search | Boru ve Tesisat Tamiri | Anadolu,Structured snippet,Hizmetler,Su Kaçağı Tespiti;Tıkanıklık Açma;Petek Temizliği;Boru Tamiri;Kamera ile Kontrol;Acil Tesisat
GT | Search | Kamera ile Gider Kontrolu | Avrupa,Structured snippet,Hizmetler,Su Kaçağı Tespiti;Tıkanıklık Açma;Petek Temizliği;Boru Tamiri;Kamera ile Kontrol;Acil Tesisat
GT | Search | Kamera ile Gider Kontrolu | Anadolu,Structured snippet,Hizmetler,Su Kaçağı Tespiti;Tıkanıklık Açma;Petek Temizliği;Boru Tamiri;Kamera ile Kontrol;Acil Tesisat

Campaign,Asset type,Phone number,Country
GT | Search | Acil Tesisatçı | Avrupa,Call,+905338960503,TR
GT | Search | Acil Tesisatçı | Anadolu,Call,+905338960503,TR
GT | Search | Su Kacagi Tespiti | Avrupa,Call,+905338960503,TR
GT | Search | Su Kacagi Tespiti | Anadolu,Call,+905338960503,TR
GT | Search | Tikaniklik Acma | Avrupa,Call,+905338960503,TR
GT | Search | Tikaniklik Acma | Anadolu,Call,+905338960503,TR
GT | Search | Petek Temizleme | Avrupa,Call,+905338960503,TR
GT | Search | Petek Temizleme | Anadolu,Call,+905338960503,TR
GT | Search | Boru ve Tesisat Tamiri | Avrupa,Call,+905338960503,TR
GT | Search | Boru ve Tesisat Tamiri | Anadolu,Call,+905338960503,TR
GT | Search | Kamera ile Gider Kontrolu | Avrupa,Call,+905338960503,TR
GT | Search | Kamera ile Gider Kontrolu | Anadolu,Call,+905338960503,TR
